name,country,genre,date_of_birth,date_of_death
Pavel Bořkovec,CZECH REPUBLIC,no_info,1894,1972
Sláva Vorlová,CZECH REPUBLIC,no_info,1894,1973
František Brož,CZECH REPUBLIC,no_info,1896,1962
Jaromír Weinberger,CZECH REPUBLIC,no_info,1896,1967
Viktor Ullmann,CZECH REPUBLIC,no_info,1898,1944
Pavel Haas,CZECH REPUBLIC,no_info,1899,1944
Adolf Strauss,CZECH REPUBLIC,no_info,1902-1944,
Iša Krejčí,CZECH REPUBLIC,no_info,1904,1968
Theodor Schaefer,CZECH REPUBLIC,no_info,1904,1969
Jaroslav Ježek,CZECH REPUBLIC,no_info,1906,1942
Jiří Srnka,CZECH REPUBLIC,no_info,1907,1982
Václav Trojan,CZECH REPUBLIC,no_info,1907,1983
Miloslav Kabeláč,CZECH REPUBLIC,no_info,1908,1979
Jan Zdeněk Bartoš,CZECH REPUBLIC,no_info,1908,1981
Klement Slavický,CZECH REPUBLIC,no_info,1910,1999
Rafael Kubelík,CZECH REPUBLIC,no_info,1914,1996
Jan Hanuš,CZECH REPUBLIC,no_info,1915,2004
Emil Hlobil,CZECH REPUBLIC,no_info,1901,1987
Vítězslava Kaprálová,CZECH REPUBLIC,no_info,1915,1940
Gideon Klein,CZECH REPUBLIC,no_info,1919,1945
Jiří Pauer,CZECH REPUBLIC,no_info,1919,2007
Ludvík Podéšť,CZECH REPUBLIC,no_info,1921,1968
Jan Novák,CZECH REPUBLIC,no_info,1921,1984
Zdeněk Liška,CZECH REPUBLIC,no_info,1922,1983
Radim Drejsl,CZECH REPUBLIC,no_info,1923,1953
Jiří Hudec,CZECH REPUBLIC,no_info,1923,1996
Lubor Bárta,CZECH REPUBLIC,no_info,1928,1972
Miloslav Ištvan,CZECH REPUBLIC,no_info,1928,1990
Luboš Fišer,CZECH REPUBLIC,no_info,1935,1999
Elena Petrová,CZECH REPUBLIC,no_info,1929,2002
Karel Husa,CZECH REPUBLIC,no_info,1921-2016,
Ilja Hurník,CZECH REPUBLIC,no_info,1922,2013
Viktor Kalabis,CZECH REPUBLIC,no_info,1923,2006
Zdeněk Lukáš,CZECH REPUBLIC,no_info,1928,2007
Antonín Tučapský,CZECH REPUBLIC,no_info,born 1928,
Petr Eben,CZECH REPUBLIC,no_info,1929,2007
Karel Janovický,CZECH REPUBLIC,no_info,born 1930,
Marek Kopelent,CZECH REPUBLIC,no_info,born 1932,
Jan Klusák,CZECH REPUBLIC,no_info,born 1934,
Jiří Bárta,CZECH REPUBLIC,no_info,1935,2012
Jiří Teml,CZECH REPUBLIC,no_info,born 1935,
Tomáš Svoboda,CZECH REPUBLIC,no_info,born 1939,
Jaroslav Krček,CZECH REPUBLIC,no_info,born 1939,
Ivana Loudová,CZECH REPUBLIC,no_info,born 1941,
Edvard Schiffauer,CZECH REPUBLIC,no_info,born 1942,
Otomar Kvěch,CZECH REPUBLIC,no_info,born 1950,
Sylvie Bodorová,CZECH REPUBLIC,no_info,born 1954,
Jan Jirásek,CZECH REPUBLIC,no_info,born 1955,
Jiří Gemrot,CZECH REPUBLIC,no_info,born 1957,
Martin Smolka,CZECH REPUBLIC,no_info,born 1959,
Vít Zouhar,CZECH REPUBLIC,no_info,born 1966,
Sonja Vectomov,CZECH REPUBLIC,no_info,born 1979,
Jaroslav Beck,CZECH REPUBLIC,no_info,born 1988,
Thorvald Aagaard,DENMARK,no_info,,
Truid Aagesen,DENMARK,no_info,,
David Abell,DENMARK,no_info,,
Hans Abrahamsen,DENMARK,no_info,,
Aksel Agerby,DENMARK,no_info,,
Harald Agersnap,DENMARK,no_info,,
Georg Frederik Ferdinand Allen,DENMARK,no_info,,
Robert William Otto Allen,DENMARK,no_info,,
Arthur Ivan Allin,DENMARK,no_info,,
Birgitte Alsted,DENMARK,no_info,,
Herman Amberg,DENMARK,no_info,,
Johan Amberg,DENMARK,no_info,,
Aksel Andersen,DENMARK,no_info,,
Arvid Andersen,DENMARK,no_info,,
Benny Andersen,DENMARK,no_info,,
Daniel Andersen,DENMARK,no_info,,
Eyvin Andersen,DENMARK,no_info,,
Hakon Andersen,DENMARK,no_info,,
Joachim Andersen,DENMARK,no_info,,
Johannes Andersen,DENMARK,no_info,,
Fritz Andersen,DENMARK,no_info,,
Kai Normann Andersen,DENMARK,no_info,,
Sophus Andersen,DENMARK,no_info,,
Lotte Anker,DENMARK,no_info,,
Erik Bach,DENMARK,no_info,,
Kasper Bai,DENMARK,no_info,,
Frans Bak,DENMARK,no_info,,
Carl Christian Nicolaj Balle,DENMARK,no_info,,
Niels Viggo Bentzon,DENMARK,no_info,,
Harald Balslev,DENMARK,no_info,,
Emilius Bangert,DENMARK,no_info,,
Christian Barnekow,DENMARK,no_info,,
Sigurd Barrett,DENMARK,no_info,,
Christian Frederik Barth,DENMARK,no_info,,
Frederik Philip Carl August Barth,DENMARK,no_info,,
Wilhelm Herman Barth,DENMARK,no_info,,
Johan Bartholdy,DENMARK,no_info,,
Rudolph Bay,DENMARK,no_info,,
Julius Bechgaard,DENMARK,no_info,,
Victor Bendix,DENMARK,no_info,,
Jørgen Bentzon,DENMARK,no_info,,
Nicolai Berendt,DENMARK,no_info,,
Gunnar Berg,DENMARK,no_info,,
Steffen Brandt,DENMARK,no_info,,
Andreas Peter Berggreen,DENMARK,no_info,,
Ilja Bergh,DENMARK,no_info,,
Rudolph Sophus Bergh,DENMARK,no_info,,
Niels Bernhart,DENMARK,no_info,,
Viggo Bielefeldt,DENMARK,no_info,,
Ludvig Birkedal-Barfod,DENMARK,no_info,,
Erling Bjerno,DENMARK,no_info,,
Thomas Blachman,DENMARK,no_info,,
Georg Carl Bohlmann,DENMARK,no_info,,
Elisabeth Boisen,DENMARK,no_info,,
Jørgen Ditleff Bondesen,DENMARK,no_info,,
Helge Bonnén,DENMARK,no_info,,
Melchior Borchgrevinck,DENMARK,no_info,,
Kim Borg,DENMARK,no_info,,
Dietrich Buxtehude,DENMARK,no_info,,
Axel Borup-Jørgensen,DENMARK,no_info,,
Hans Brachrogge,DENMARK,no_info,,
Ivar Bredal,DENMARK,no_info,,
Erling Brene,DENMARK,no_info,,
Viggo Brodersen,DENMARK,no_info,,
Kai Aage Bruun,DENMARK,no_info,,
Peter Bruun,DENMARK,no_info,,
Ole Buck,DENMARK,no_info,,
Carl Busch,DENMARK,no_info,,
Volkmar Busch,DENMARK,no_info,,
Erik Bøgh,DENMARK,no_info,,
Hakon Børresen,DENMARK,no_info,,
Camillo Carlsen,DENMARK,no_info,,
Henrik Carlsen,DENMARK,no_info,,
Bernhard Christensen,DENMARK,no_info,,
Asger Lund Christiansen,DENMARK,no_info,,
Henning Christiansen,DENMARK,no_info,,
Karl Clausen,DENMARK,no_info,,
Niels Clemmensen,DENMARK,no_info,,
Carl Cohn Haste,DENMARK,no_info,,
Victor Cornelius,DENMARK,no_info,,
Fritz Crome,DENMARK,no_info,,
Simoni Dall Croubelis,DENMARK,no_info,,
Balduin Dahl,DENMARK,no_info,,
Nancy Dalberg,DENMARK,no_info,,
Johan Darbes,DENMARK,no_info,,
Christian Debois,DENMARK,no_info,,
Søffren Degen,DENMARK,no_info,,
Nathanael Diesel,DENMARK,no_info,,
Jean Baptiste Édouard Du Puy,DENMARK,no_info,,
Otto Dütsch,DENMARK,no_info,,
August Enna,DENMARK,no_info,,
Adolph Julius Eggers,DENMARK,no_info,,
Søren Nils Eichberg,DENMARK,no_info,,
Niels Eje,DENMARK,no_info,,
Henning Elbirk,DENMARK,no_info,,
Ejnar Emborg,DENMARK,no_info,,
Harald Bjerg Emborg,DENMARK,no_info,,
Jens Laursøn Emborg,DENMARK,no_info,,
Jørgen Emborg,DENMARK,no_info,,
Aage Emborg,DENMARK,no_info,,
Poul Allin Erichsen,DENMARK,no_info,,
Morten Eskesen,DENMARK,no_info,,
Jacob Christian Fabricius,DENMARK,no_info,,
Bent Fabricius-Bjerre,DENMARK,no_info,,
Ida Henriette da Fonseca,DENMARK,no_info,,
Frederik Foersom,DENMARK,no_info,,
Peter Christian Foersom,DENMARK,no_info,,
Johan Foltmar,DENMARK,no_info,,
Julius Foss,DENMARK,no_info,,
John Frandsen,DENMARK,no_info,,
Axel Frederiksen,DENMARK,no_info,,
Johan Henrik Freithoff,DENMARK,no_info,,
Ivar Frounberg,DENMARK,no_info,,
Carl Johan Frydensberg,DENMARK,no_info,,
Johannes Frederik Frølich,DENMARK,no_info,,
Frederik Christian Funck,DENMARK,no_info,,
Peter Ferdinand Funck,DENMARK,no_info,,
Fuzzy,DENMARK,no_info,,
Johanne Fenger,DENMARK,no_info,,
Carl Gottlob Füssel,DENMARK,no_info,,
Niels W. Gade,DENMARK,no_info,,
Ingolf Gabold,DENMARK,no_info,,
Axel Gade,DENMARK,no_info,,
Jacob Gade,DENMARK,no_info,,
Johann Christian Gebauer,DENMARK,no_info,,
Christian Geisler,DENMARK,no_info,,
Christian Geist,DENMARK,no_info,,
Carl Ludvig Gerlach,DENMARK,no_info,,
Georg Gerson,DENMARK,no_info,,
W.H.R.R. Giedde,DENMARK,no_info,,
Lennart Ginman,DENMARK,no_info,,
Nicolo Gistou,DENMARK,no_info,,
Christian Henrik Glass,DENMARK,no_info,,
Louis Glass,DENMARK,no_info,,
Franz Joseph Glæser,DENMARK,no_info,,
Joseph Glæser,DENMARK,no_info,,
Peder Gram,DENMARK,no_info,,
Axel Grandjean,DENMARK,no_info,,
Lars Graugaard,DENMARK,no_info,,
Tekla Griebel-Wandall,DENMARK,no_info,,
Michael Ehregott Grose,DENMARK,no_info,,
Heinrich Ernst Grosmann,DENMARK,no_info,,
Jacob Groth,DENMARK,no_info,,
Georg Grothe,DENMARK,no_info,,
Launy Grøndahl,DENMARK,no_info,,
Peter Grønland,DENMARK,no_info,,
Pelle Gudmundsen-Holmgreen,DENMARK,no_info,,
Bo Gunge,DENMARK,no_info,,
Cornelius Gurlitt,DENMARK,no_info,,
Hugo Gyldmark,DENMARK,no_info,,
Sven Gyldmark,DENMARK,no_info,,
Birger Wøllner Gaarn,DENMARK,no_info,,
Asger Hamerik,DENMARK,no_info,,
Sophus Hagen,DENMARK,no_info,,
Mads Hak,DENMARK,no_info,,
Andreas Hallager,DENMARK,no_info,,
Sophus Halle,DENMARK,no_info,,
Povl Hamburger,DENMARK,no_info,,
Ebbe Hamerik,DENMARK,no_info,,
Margaret Hamerik,DENMARK,no_info,,
Jodle Birge,DENMARK,no_info,,
Christian Julius Hansen,DENMARK,no_info,,
Frants Johannes Hansen,DENMARK,no_info,,
Nicolaj Hansen,DENMARK,no_info,,
Robert Emil Hansen,DENMARK,no_info,,
Thorvald Hansen,DENMARK,no_info,,
Hans Hansen,DENMARK,no_info,,
Egil Harder,DENMARK,no_info,,
Knud Harder,DENMARK,no_info,,
August Wilhelm Hartmann,DENMARK,no_info,,
J.P.E. Hartmann,DENMARK,no_info,,
Emil Hartmann,DENMARK,no_info,,
Emma Hartmann,DENMARK,no_info,,
Johan Ernst Hartmann,DENMARK,no_info,,
Johann Hartmann,DENMARK,no_info,,
Lars Hegaard,DENMARK,no_info,,
Anton Hegner,DENMARK,no_info,,
Ludvig Hegner,DENMARK,no_info,,
Jørgen Heide,DENMARK,no_info,,
Peter Heise,DENMARK,no_info,,
Paul Hellmuth,DENMARK,no_info,,
Thomas Helmig,DENMARK,no_info,,
Carl Helsted,DENMARK,no_info,,
Edvard Helsted,DENMARK,no_info,,
Gustav Helsted,DENMARK,no_info,,
Edgar Henrichsen,DENMARK,no_info,,
Roger Henrichsen,DENMARK,no_info,,
Fini Henriques,DENMARK,no_info,,
Bent Hesselmann,DENMARK,no_info,,
Christian Hildebrandt,DENMARK,no_info,,
Niels Peter Hillebrandt,DENMARK,no_info,,
Bjørn Hjelmborg,DENMARK,no_info,,
Ludvig Holm,DENMARK,no_info,,
Mogens Winkel Holm,DENMARK,no_info,,
Vilhelm Christian Holm,DENMARK,no_info,,
Vagn Holmboe,DENMARK,no_info,,
Bo Holten,DENMARK,no_info,,
C.F.E. Horneman,DENMARK,no_info,,
Emil Horneman,DENMARK,no_info,,
Bjarne Hoyer,DENMARK,no_info,,
Johan Hye-Knudsen,DENMARK,no_info,,
Otto Hænning,DENMARK,no_info,,
Georg Høeberg,DENMARK,no_info,,
Finn Høffding,DENMARK,no_info,,
Johannes Erasmus Iversen,DENMARK,no_info,,
Ejnar Jacobsen,DENMARK,no_info,,
Jens Bjerre Jacobsen,DENMARK,no_info,,
Niels Peter Jensen,DENMARK,no_info,,
Knud Jeppesen,DENMARK,no_info,,
Jørgen Jersild,DENMARK,no_info,,
Axel Jørgensen,DENMARK,no_info,,
C.V. Jørgensen,DENMARK,no_info,,
Friedrich Kuhlau,DENMARK,no_info,,
Leif Kayser,DENMARK,no_info,,
Axel Kjerulf,DENMARK,no_info,,
Charles Kjerulf,DENMARK,no_info,,
Povl Kjøller,DENMARK,no_info,,
Paul von Klenau,DENMARK,no_info,,
Werner Knudsen,DENMARK,no_info,,
Jesper Koch,DENMARK,no_info,,
Anders Koppel,DENMARK,no_info,,
Herman D. Koppel,DENMARK,no_info,,
Thomas Koppel,DENMARK,no_info,,
Søren Kragh-Jacobsen,DENMARK,no_info,,
Peter Casper Krossing,DENMARK,no_info,,
Hans Ernst Krøyer,DENMARK,no_info,,
F.L.Æ. Kunzen,DENMARK,no_info,,
Jesper Kyd,DENMARK,no_info,,
Morten Kærså,DENMARK,no_info,,
Rued Langgaard,DENMARK,no_info,,
Niels la Cour,DENMARK,no_info,,
Peter Erasmus Lange-Müller,DENMARK,no_info,,
Lars Oluf Larsen,DENMARK,no_info,,
Søren Sebber Larsen,DENMARK,no_info,,
Thomas Laub,DENMARK,no_info,,
Bernhard Lewkovitch,DENMARK,no_info,,
Axel Liebmann,DENMARK,no_info,,
Nanna Liebmann,DENMARK,no_info,,
Lars Lilholt,DENMARK,no_info,,
Anne Linnet,DENMARK,no_info,,
Martin Lohse,DENMARK,no_info,,
Bent Lorentzen,DENMARK,no_info,,
Jakob Lorentzen,DENMARK,no_info,,
Hans Christian Lumbye,DENMARK,no_info,,
Tom Lundén,DENMARK,no_info,,
Frederik Magle,DENMARK,no_info,,
Frederikke Løvenskiold,DENMARK,no_info,,
Otto Malling,DENMARK,no_info,,
Marilyn Mazur,DENMARK,no_info,,
Carl Viggo Meincke,DENMARK,no_info,,
Sextus Miskow,DENMARK,no_info,,
Benna Moe,DENMARK,no_info,,
John Mogensen,DENMARK,no_info,,
Otto Mortensen,DENMARK,no_info,,
Erik Moseholm,DENMARK,no_info,,
Carl Nielsen,DENMARK,no_info,,
Joachim Neergaard,DENMARK,no_info,,
Franz Xaver Neruda,DENMARK,no_info,,
Ulrik Neumann,DENMARK,no_info,,
Andreas P. Nielsen,DENMARK,no_info,,
Ludolf Nielsen,DENMARK,no_info,,
Erik Norby,DENMARK,no_info,,
Heinrich von Nutzhorn,DENMARK,no_info,,
Cora Nyegaard,DENMARK,no_info,,
Per Nørgård,DENMARK,no_info,,
Ib Nørholm,DENMARK,no_info,,
Morten Olsen,DENMARK,no_info,,
Else Marie Pade,DENMARK,no_info,,
Steen Pade,DENMARK,no_info,,
Holger Simon Paulli,DENMARK,no_info,,
Gunner Møller Pedersen,DENMARK,no_info,,
Ivan Pedersen,DENMARK,no_info,,
Mogens Pedersøn,DENMARK,no_info,,
James Price,DENMARK,no_info,,
Henrik Rung,DENMARK,no_info,,
Christian Joseph Rasmussen,DENMARK,no_info,,
Karl Aage Rasmussen,DENMARK,no_info,,
Emil Reesen,DENMARK,no_info,,
Jascha Richter,DENMARK,no_info,,
Knudåge Riisager,DENMARK,no_info,,
Oluf Ring,DENMARK,no_info,,
Kjell Roikjer,DENMARK,no_info,,
Leopold Rosenfeld,DENMARK,no_info,,
Poul Ruders,DENMARK,no_info,,
Frederik Rung,DENMARK,no_info,,
P. S. Rung-Keller,DENMARK,no_info,,
Hanne Rømer,DENMARK,no_info,,
Thomas Sandberg,DENMARK,no_info,,
Claus Schall,DENMARK,no_info,,
Peder Schall,DENMARK,no_info,,
Johann Adolph Scheibe,DENMARK,no_info,,
Poul Schierbeck,DENMARK,no_info,,
Poul Christian Schindler,DENMARK,no_info,,
Svend S. Schultz,DENMARK,no_info,,
Sebastian,DENMARK,no_info,,
Rudolph Simonsen,DENMARK,no_info,,
Svenn Skipper,DENMARK,no_info,,
Niels Skousen,DENMARK,no_info,,
Kira Skov,DENMARK,no_info,,
Bent Sørensen,DENMARK,no_info,,
Aage Stentoft,DENMARK,no_info,,
Bo Stief,DENMARK,no_info,,
Henrik Strube,DENMARK,no_info,,
John Sund,DENMARK,no_info,,
John Tchicai,DENMARK,no_info,,
Michael Teschl,DENMARK,no_info,,
Carl August Thielo,DENMARK,no_info,,
Knud Vad Thomsen,DENMARK,no_info,,
Kenneth Thordal,DENMARK,no_info,,
Peter Thorup,DENMARK,no_info,,
Leif Thybo,DENMARK,no_info,,
Karsten Vogel,DENMARK,no_info,,
Herman Friedrich Voltmar,DENMARK,no_info,,
Johan Voltmar,DENMARK,no_info,,
C. E. F. Weyse,DENMARK,no_info,,
Morten Wedendahl,DENMARK,no_info,,
Flemming Weis,DENMARK,no_info,,
Tue West,DENMARK,no_info,,
Svend Westergaard,DENMARK,no_info,,
Henriette Wienecke,DENMARK,no_info,,
K.A. Wieth-Knudsen,DENMARK,no_info,,
August Winding,DENMARK,no_info,,
Hardenack Otto Conrad Zinck,DENMARK,no_info,,
Luis Alberti,DOMINICAN REPUBLIC,no_info,1906,1976
Charytín,DOMINICAN REPUBLIC,no_info,born 1949,
Juan Luis Guerra,DOMINICAN REPUBLIC,no_info,born 1957,
Johnny Pacheco,DOMINICAN REPUBLIC,no_info,born 1935,
Anthony Santos,DOMINICAN REPUBLIC,no_info,born 1981,
Sandra Zaiter,DOMINICAN REPUBLIC,no_info,born 1943,
Mesías Maiguashca,ECUADOR,no_info,born 1938,
Sayed Darwish,EGYPT,Classical,1892,1923
Mohamed El Qasabgi,EGYPT,Classical,1892,1966
Zakariya Ahmad,EGYPT,Classical,1896,1961
Yusef Greiss,EGYPT,Classical,1899,1961
Abu Bakr Khairat,EGYPT,Classical,1910,1963
Hasan Rashid,EGYPT,Classical,1896,1969
Aziz El-Shawan,EGYPT,Classical,1916,1993
Dawood Hosni,EGYPT,Classical,1870,1937
Mohamed Abdel Wahab,EGYPT,Classical,1902,1991
Riad Al Sunbati,EGYPT,Classical,1906,1981
Farid al-Atrash,EGYPT,Classical,1910,1974
Kamel El-Remali,EGYPT,Classical,b. 1922,
Awatef Abdel Karim,EGYPT,Classical,born 1931,
Gamal Abdel-Rahim,EGYPT,Classical,1924,1988
Sayed Awad,EGYPT,Classical,1926,2000
Halim El-Dabh,EGYPT,Classical,1921,2017
Soliman Gamil,EGYPT,Classical,1924,1994
Rifaat Garrana,EGYPT,Classical,born 1924,
Tarek Ali Hassan,EGYPT,Classical,born 1937,
Ezz Eddin Hosni,EGYPT,Classical,1927,2013
Baligh Hamdi,EGYPT,Classical,1932,1993
Muhammad Sultan,EGYPT,Classical,,
Ahmed Abdallah,EGYPT,Classical,,
Mohamed Abdelwahab Abdelfattah,EGYPT,Classical,born 1962,
Rageh Daoud,EGYPT,Classical,born 1954,
Omar Khayrat,EGYPT,Classical,born 1949,
Mona Ghoneim,EGYPT,Classical,born 1955,
Sherif Mohie El Din,EGYPT,Classical,born 1964,
Ali Osman,EGYPT,Classical,1958,2017
Adel Kamel,EGYPT,Classical,1942,2003
Els Aarne,ESTONIA,Classical,1917-1995,
Evald Aav,ESTONIA,Classical,1900-1939,
Juhan Aavik,ESTONIA,Classical,1884-1982,
Ludwig Busbetzky,ESTONIA,Classical,17th century,
René Eespere,ESTONIA,Classical,born 1953,
Heino Eller,ESTONIA,Classical,1887-1970,
Gustav Ernesaks,ESTONIA,Classical,1908-1993,
Sven Grünberg,ESTONIA,Classical,born 1956,
Miina Härma,ESTONIA,Classical,1864-1941,
Robert Jürjendal,ESTONIA,Classical,born 1966,
Artur Kapp,ESTONIA,Classical,1878-1952,
Eugen Kapp,ESTONIA,Classical,1908-1996,
Cyrillus Kreek,ESTONIA,Classical,1889-1962,
Artur Lemba,ESTONIA,Classical,1885-1963,
Mihkel Lüdig,ESTONIA,Classical,1880-1958,
Ester Mägi,ESTONIA,Classical,born 1922,
Alo Mattiisen,ESTONIA,Classical,1961-1996,
Eduard Oja,ESTONIA,Classical,1905-1950,
Arvo Pärt,ESTONIA,Classical,born 1935,
Jaan Rääts,ESTONIA,Classical,born 1932,
Kaljo Raid,ESTONIA,Classical,1921-2005,
Rein Rannap,ESTONIA,Classical,born 1953,
Jüri Reinvere,ESTONIA,Classical,born 1971,
Mart Saar,ESTONIA,Classical,1882-1963,
Juhan Simm,ESTONIA,Classical,1885-1959,
Urmas Sisask,ESTONIA,Classical,born 1960,
Peeter Süda,ESTONIA,Classical,1883-1920,
Lepo Sumera,ESTONIA,Classical,1950-2000,
Eino Tamberg,ESTONIA,Classical,1930-2010,
Rudolf Tobias,ESTONIA,Classical,1873-1918,
Helen Tobias-Duesberg,ESTONIA,Classical,1919-2010,
Veljo Tormis,ESTONIA,Classical,1930-2017,
Eduard Tubin,ESTONIA,Classical,1905-1982,
Helena Tulve,ESTONIA,Classical,born 1972,
Erkki-Sven Tüür,ESTONIA,Classical,born 1959,
Pärt Uusberg,ESTONIA,Classical,born 1986,
Peeter Vähi,ESTONIA,Classical,born 1955,
Raimond Valgre,ESTONIA,Classical,1913-1949,
Ardo Ran Varres,ESTONIA,Classical,born 1974,
Liis Viira,ESTONIA,Classical,born 1983,
Erik Tulindberg,FINLAND,classical,1761,
Thomas Byström,FINLAND,classical,1772,
Bernhard Henrik Crusell,FINLAND,classical,1775,
Fredrik Pacius,FINLAND,opera,1809,
Filip von Schantz,FINLAND,classical,1835,
Martin Wegelius,FINLAND,classical,1846,
Robert Kajanus,FINLAND,classical,1856,
Jean Sibelius,FINLAND,choir,1865,
Oskar Merikanto,FINLAND,classical,1868,
Armas Jarnefelt,FINLAND,classical,1869,
Erkki Melartin,FINLAND,classical,1875,
Ernst Mielck,FINLAND,classical,1877,
Selim Palmgren,FINLAND,classical,1878,
Toivo Kuula,FINLAND,choir,1883,
Armas Launis,FINLAND,opera,1884,
Heino Kaski,FINLAND,classical,1885,
Leevi Madetoja,FINLAND,classical,1887,
Ernest Pingoud,FINLAND,classical,1887,
Väinö Raitio,FINLAND,classical,1891,
Ilmari Hannikainen,FINLAND,classical,1892,
Yrjö Kilpinen,FINLAND,classical,1892,
Aarre Merikanto,FINLAND,classical,1893,
Uuno Klami,FINLAND,classical,1900,
Helvi Leiviskä,FINLAND,classical,1902,
Taneli Kuusisto,FINLAND,classical,1905,
Nils-Eric Fougstedt,FINLAND,classical,1910,
Erik Bergman,FINLAND,classical,1911,
Tauno Marttinen,FINLAND,"classical, mystic",1912,
Sven Einar Englund,FINLAND,classical,1916,
Tauno Pylkkänen,FINLAND,opera,1918,
Joonas Kokkonen,FINLAND,classical,1921,
Einojuhani Rautavaara,FINLAND,"neo-romantic, opera, mystic",1928,
Ilkka Kuusisto,FINLAND,neo-classical,1933,
Aulis Sallinen,FINLAND,neo-classical,1935,
Erkki Salmenhaara,FINLAND,classical,1941,
Charlie Morrow,FINLAND,classical,1942,
Leif Segerstam,FINLAND,classical,1944,
Mikko Heiniö,FINLAND,classical,1948,
Jukka Tiensuu,FINLAND,classical,1948,
Kalevi Aho,FINLAND,modernist,1949,
Kaija Saariaho,FINLAND,classical,1952,
Juhani Komulainen,FINLAND,classical,1953,
Olli Kortekangas,FINLAND,choir,1955,
Jouni Kaipainen,FINLAND,classical,1956,
Magnus Lindberg,FINLAND,classical,1958,
Esa-Pekka Salonen,FINLAND,classical,1958,
Timo Alakotila,FINLAND,classical,1959,
Pertti Jalava,FINLAND,"contemporary classical, progressive jazz",1960,
Jaakko Mäntyjärvi,FINLAND,classical,1963,
Arto Järvelä,FINLAND,folk,1964,
Maria Kalaniemi,FINLAND,classical,1964,
Osmo Tapio Räihälä,FINLAND,contemporary,1964,
Mika Pohjola,FINLAND,neo-classical,1971,
Tomi Räisänen,FINLAND,classical,1976,
Sampo Haapamäki,FINLAND,classical,1979,
Sauli Zinovjev,FINLAND,classical,1988,
Eryck Abecassis,FRANCE,no_info,born 1956,
Adolphe Adam,FRANCE,no_info,1803,1856
François d'Agincourt,FRANCE,no_info,1684,1758
Léopold Aimon,FRANCE,no_info,1779,1866
Jehan Alain,FRANCE,no_info,1911,1940
Paul Alday,FRANCE,no_info,c.1763,1835
Charles-Valentin Alkan,FRANCE,no_info,1813,1888
Jean-Claude Amiot,FRANCE,no_info,born 1939,
Gilbert Amy,FRANCE,no_info,born 1936,
Jean-Henri d'Anglebert,FRANCE,no_info,1629,1691
Jean-Baptiste Arban,FRANCE,no_info,1825,1889
Daniel Auber,FRANCE,no_info,1782,1871
Jacques Aubert,FRANCE,no_info,1689,1753
Louis Aubert,FRANCE,no_info,1877,1968
Tony Aubin,FRANCE,no_info,1907,1981
Georges Auric,FRANCE,no_info,1899,1983
Artus Aux-Cousteaux,FRANCE,no_info,c.1590,1656
Nicolas Bacri,FRANCE,no_info,born 1961,
Jean Barraqué,FRANCE,no_info,1928,1973
François Bazin,FRANCE,no_info,1816,1878
Hector Berlioz,FRANCE,no_info,1803,1869
Christophe Bertrand,FRANCE,no_info,1981,2010
Henri Betti,FRANCE,no_info,1917,2005
Georges Bizet,FRANCE,no_info,1838,1875
Adolphe Blanc,FRANCE,no_info,1828,1885
Nicolas-Charles Bochsa,FRANCE,no_info,1789,1856
François-Adrien Boieldieu,FRANCE,no_info,1775,1834
Joseph Bodin de Boismortier,FRANCE,no_info,1689,1755
Michel Blavet,FRANCE,no_info,1700,1768
Léon Boëllmann,FRANCE,no_info,1862,1897
Claude Bolling,FRANCE,no_info,born 1930,
Mel Bonis,FRANCE,no_info,1858,1937
Lili Boulanger,FRANCE,no_info,1893,1918
Nadia Boulanger,FRANCE,no_info,1887,1979
Pierre Boulez,FRANCE,no_info,1925,2016
"Joseph Boulogne, Chevalier de St George",FRANCE,no_info,1745,1799
Laurent Boutonnat,FRANCE,no_info,born 1961,
Eugène Bozza,FRANCE,no_info,1905,1991
Jean-Baptiste Bréval,FRANCE,no_info,1753,1823
Alfred Bruneau,FRANCE,no_info,1857,1934
Henri Büsser,FRANCE,no_info,1872,1973
André Campra,FRANCE,no_info,1660,1744
Joseph Canteloube,FRANCE,no_info,1879,1957
André Caplet,FRANCE,no_info,1878,1925
Jacques Castérède,FRANCE,no_info,1926,2014
Charles Simon Catel,FRANCE,no_info,1773,1830
Pierre Certon,FRANCE,no_info,c.1510/20,1572
Emmanuel Chabrier,FRANCE,no_info,1841,1894
Cécile Chaminade,FRANCE,no_info,1857,1944
Jacques Champion de Chambonnières,FRANCE,no_info,c.1601,1672
Gustave Charpentier,FRANCE,no_info,1860,1956
Marc-Antoine Charpentier,FRANCE,no_info,1643,1704
Ernest Chausson,FRANCE,no_info,1855,1899
Nicolas Chedeville,FRANCE,no_info,1705,1782
Louis-Nicolas Clérambault,FRANCE,no_info,1676,1749
Loÿset Compère,FRANCE,no_info,c.1445,1518
Napoléon Coste,FRANCE,no_info,1805,1883
Bruno Coulais,FRANCE,no_info,born 1954,
François Couperin,FRANCE,no_info,1668,1733
Louis Couperin,FRANCE,no_info,c.1626,1661
Jean Cras,FRANCE,no_info,1879,1932
Ferdinand de Craywinckel,FRANCE,no_info,1820,c.1888
Nicolas Dalayrac,FRANCE,no_info,1753,1809
Jean-Michel Damase,FRANCE,no_info,1928,2013
Charles Dancla,FRANCE,no_info,1817,1907
Jean-François Dandrieu,FRANCE,no_info,c.1682,1738
Louis-Claude Daquin,FRANCE,no_info,1694,1772
